,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,27974.42320393324,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-25978543.870526727,-22594748.565962136,3383795.3045645915,0.4583346813004605
1,w24853840,937.1926232803613,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-2087692.8725192996,-1815763.6460541314,271929.2264651682,0.4583346813004605
2,w24853841,8998.296452549099,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-9174885.558824621,-7979824.941547663,1195060.6172769582,0.4583346813004605
3,w25538793,404.8852469230536,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-869607.668714605,-756338.2583552253,113269.41035937972,0.4583346813004605
4,w27689586,5481.69515059907,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-1845083.5005885216,-1604754.9849897586,240328.515598763,0.4583346813004605
5,w28994179,16672.165487814695,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-4647585.858920557,-4042221.705896637,605364.1530239205,0.4583346813004605
6,w28994181,2845.002712316811,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-2500012.524348856,-2174377.235342459,325635.2890063971,0.4583346813004605
7,w29249266,23411.247439788887,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-20802590.06265629,-18092980.666239757,2709609.3964165337,0.4583346813004605
8,w30213059,1747.46707642246,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-2926974.2994497423,-2545604.995660221,381369.3037895211,0.4583346813004605
9,w50930444,8762.936898044496,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-8351249.563712261,-7263470.387105021,1087779.17660724,0.4583346813004605
10,w50930445,4934.112452852726,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-5122945.875537947,-4455664.4341462,667281.4413917465,0.4583346813004605
11,w50930458,1974.6456010334193,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-2601164.454910809,-2262353.7766528428,338810.6782579664,0.4583346813004605
12,w50930471,4724.4749339554455,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-6216185.1540403,-5406505.510663153,809679.6433771476,0.4583346813004605
13,w50930472,9715.957844087014,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-8163428.249969974,-7100113.44991539,1063314.8000545837,0.4583346813004605
14,w50930478,6019.835157379508,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-5251467.38714296,-4567445.5737861,684021.8133568596,0.4583346813004605
15,w50930479,4489.048651921749,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-4670498.340172924,-4062149.7571184332,608348.5830544909,0.4583346813004605
16,w50930480,4441.97852948606,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-4410063.576487901,-3835637.523306325,574426.0531815756,0.4583346813004605
17,w50930481,1370.623297881335,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-1692037.754774112,-1471643.9775752912,220393.77719882084,0.4583346813004605
18,w50930482,1573.369959426485,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-1786066.990991504,-1553425.5801458578,232641.41084564617,0.4583346813004605
19,w50930483,704.9254127380437,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-1188843.498574638,-1033992.5158410383,154850.98273359973,0.4583346813004605
20,w50930486,509.32494937628496,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-818118.3473278378,-711555.5993900354,106562.74793780246,0.4583346813004605
21,w98916060,2713.01504517002,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-1747697.0382391638,-1520053.4466172126,227643.5916219512,0.4583346813004605
22,w98916062,151.14776481509907,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-373898.60664799425,-325197.01829630375,48701.5883516905,0.4978864050675053
23,w98916065,222.67857759937178,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-573543.4496529604,-498837.4291164786,74706.02053648181,0.4583346813004605
24,w98916067,43210.64675020873,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-23402700.18415568,-20354417.44005925,3048282.744096432,0.4583346813004605
25,w98916074,4745.314506876469,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-3787794.7249261215,-3294421.344618965,493373.3803071566,0.4583346813004605
26,w98916075,67.06430839556852,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-128854.49258860637,-112065.43224806729,16789.060340539087,0.4979062714317148
27,w98916076,98.82164086105185,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-273676.49800267105,-238017.89467074073,35658.603331930324,0.4979062714317148
