,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,27974.42320393324,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-7776728.575709645,-2581019.801604299,0.15775101028021934
1,w24853840,937.1926232803613,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-624954.9974756537,-207416.42297179374,0.15775101028021934
2,w24853841,8998.296452549099,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-2746520.169097165,-911543.0573322407,0.15775101028021934
3,w25538793,404.8852469230536,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-260318.77847555422,-86397.24473263329,0.15775101028021934
4,w27689586,5481.69515059907,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-552329.4013363116,-183312.70121860725,0.15775101028021934
5,w28994179,16672.165487814695,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-1391264.0345534012,-461746.86276928976,0.15775101028021934
6,w28994181,2845.002712316811,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-748383.7021286272,-248381.1972588562,0.15775101028021934
7,w29249266,23411.247439788887,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-6227296.548848199,-2066778.536316942,0.15775101028021934
8,w30213059,1747.46707642246,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-876153.9901374461,-290759.1302474977,0.15775101028021934
9,w50930444,8762.936898044496,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-2499963.1021924186,-829713.1894499667,0.15775101028021934
10,w50930445,4934.112452852726,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-1533563.9972996707,-508974.8221920815,0.15775101028021934
