,full_id,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,trade,1197392.8826751309,1330436.536305701,1496741.1033439136,nr2,-5212597.118448484,-4433468.796372999,779128.3220754843,0.18180855591943298
1,w24853840,trade,88019.54120636193,97799.49022929103,110024.4265079524,nr2,-383174.4897584475,-361865.7140087822,21308.775749665336,0.18180855591943298
2,w24853841,trade,370411.49455784855,411568.3272864984,463014.36819731066,nr2,-1612508.2394500019,-1534859.3429543276,77648.89649567427,0.18180855591943298
3,w25538793,trade,30724.044681390333,34137.827423767034,38405.05585173791,nr1,-145292.57556386807,-153957.0172503461,-8664.441686478036,0.19749761912060235
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-1041447.1314432987,-636561.4436980337,404885.68774526496,0.18180855591943298
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-2623304.01814627,-1603436.355656196,1019867.662490074,0.18180855591943298
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-1411118.1804102426,-862514.6673606178,548603.5130496249,0.18180855591943298
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-11741906.39092155,-7176979.6644536955,4564926.726467854,0.18180855591943298
8,w30213059,ab,186541.77691087977,207268.64101208863,233177.2211385997,r2,-868956.3814882182,-672299.9225120031,196656.4589762151,0.18180855591943298
9,w50930444,other,330222.16830016905,366913.5203335212,412777.7103752113,nr2,-1437552.4924481185,-1417620.302717613,19932.18973050546,0.18180855591943298
10,w50930445,other,202146.16980193532,224606.85533548368,252682.71225241915,nr2,-880000.6726788365,-921349.2071988739,-41348.534520037356,0.18180855591943298
11,w50930458,other,60554.61203303029,67282.90225892254,75693.26504128786,nr2,-263611.71905994945,-386160.66073248273,-122548.94167253328,0.18180855591943298
12,w50930471,other,258143.60911438576,286826.2323493175,322679.5113929822,nr2,-1123773.7024202931,-1062509.0816480552,61264.62077223789,0.18180855591943298
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-4607801.7233163845,-2816416.5311047863,1791385.1922115982,0.18180855591943298
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-2964161.591854026,-1811777.9820948988,1152383.6097591273,0.18180855591943298
15,w50930479,other,185541.01142931575,206156.6793659064,231926.26428664467,nr2,-807713.6214220091,-784144.1010272163,23569.52039479278,0.18180855591943298
16,w50930480,other,168700.98991545063,187445.54435050068,210876.23739431327,nr2,-734404.1430646037,-726379.0825257305,8025.060538873193,0.18180855591943298
17,w50930481,other,62080.660377160784,68978.51153017864,77600.82547145098,nr2,-270255.0483433639,-298580.46707741055,-28325.41873404663,0.18180855591943298
18,w50930482,other,63379.87619939754,70422.08466599727,79224.84524924692,nr2,-275910.910132106,-296868.7848291752,-20957.87469706923,0.18180855591943298
19,w50930483,other,45123.70064816985,50137.445164633165,56404.62581021231,nr1,-213387.87760963838,-213278.2843530802,109.5932565581752,0.19749761912060235
20,w50930486,trade,30466.044901173256,33851.16100130362,38082.55612646657,nr1,-144072.5066259605,-148716.56223563256,-4644.055609672068,0.19749761912060235
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-986477.8838061058,-602962.7111474593,383515.1726586465,0.18180855591943298
22,w98916062,trade,11092.043274505519,12324.492527228354,13865.054093131897,nr1,-52453.75575810613,-59956.61091383796,-7502.855155731835,0.19749761912060235
23,w98916065,other,20948.500685227787,23276.111872475318,26185.625856534734,nr1,-99064.48354443899,-101828.64074063371,-2764.1571961947193,0.19749761912060235
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-13209524.10394565,-8074028.417091498,5135495.686854152,0.18180855591943298
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-2137999.6891805213,-1306804.8561280211,831194.8330525002,0.18180855591943298
26,w98916075,sfh,8538.96409194254,9487.737879936156,10673.705114928174,r1,-43210.762571852014,-48807.93552618611,-5597.172954334099,0.1975054995519457
27,w98916076,sfh,13728.213996145805,15253.571106828673,17160.267495182256,r1,-69470.55745120045,-69564.1416604806,-93.58420928014675,0.1975054995519457
28,w98916079,trade,133751.88480733606,148613.2053414845,167189.85600917006,nr2,-582260.5925100795,-647314.245448896,-65053.65293881646,0.18180855591943298
29,w98916080,other,104082.21116258297,115646.90129175886,130102.76395322871,nr2,-453099.93222585815,-485687.65797005844,-32587.72574420029,0.18180855591943298
30,w98916086,other,20686.516731325537,22985.018590361706,25858.14591415692,nr1,-97825.57363483586,-114202.89470527355,-16377.321070437683,0.19749761912060235
31,w98916091,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-285239.20657238306,-174346.1340023706,110893.07257001245,0.18180855591943298
32,w98916094,trade,13612.2294499376,15124.699388819556,17015.286812422,nr1,-64371.598741545364,-78502.8797737977,-14131.281032252336,0.19749761912060235
33,w98916098,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-6050188.799718247,-3698043.6171127954,2352145.1826054514,0.18180855591943298
34,w98916102,trade,73425.17962658805,81583.53291843117,91781.47453323506,nr2,-319641.01781533373,-377472.30192325125,-57831.28410791751,0.18180855591943298
35,w98916109,sfh,9629.8057932929,10699.784214769888,12037.257241616126,r1,-48730.88202111911,-55416.96279688257,-6686.080775763461,0.1975054995519457
36,w98916113,trade,50271.6825643969,55857.425071552105,62839.60320549612,nr2,-218847.1565734443,-226048.0309472715,-7200.874373827188,0.18180855591943298
37,w98916116,other,358101.17313169746,397890.1923685527,447626.4664146218,nr2,-1558917.854103992,-1420611.1750045558,138306.67909943615,0.18180855591943298
38,w98916121,other,22475.134293848154,24972.371437609057,28093.917867310192,nr1,-106283.86273877943,-113484.39367762381,-7200.530938844386,0.19749761912060235
39,w98916126,trade,54455.49615433791,60506.10683815323,68069.37019292239,nr2,-237060.50574112026,-260719.16392739478,-23658.658186274522,0.18180855591943298
40,w99055014,mfh,51250.231128429565,56944.70125381063,64062.788910536954,r2,-238735.88066586922,-209674.9639216496,29060.916744219605,0.18180855591943298
41,w99055018,mfh,39011.950831555296,43346.61203506144,48764.93853944412,r1,-197416.9380145045,-166995.04157782695,30421.896436677547,0.1975054995519457
42,w99055022,sfh,3912.1656857345315,4346.850761927257,4890.207107168164,r0,-24292.64594062861,-26134.151029331286,-1841.5050887026773,0.24235390993055347
43,w99055023,sfh,7638.842228320924,8487.602475912137,9548.552785401154,r1,-38655.76600366309,-38817.79152453851,-162.025520875417,0.1975054995519457
44,w99055025,trade,131771.14343422168,146412.38159357963,164713.9292927771,nr2,-573637.8531207981,-563189.1791607981,10448.673960000044,0.18180855591943298
45,w99055028,ab,18863.996140229203,20959.99571136578,23579.9951752865,r1,-95459.78289578942,-84379.68086120934,11080.102034580079,0.1975054995519457
46,w99055030,other,33719.73290267432,37466.369891860355,42149.66612834289,nr1,-159459.04556383938,-169050.13856717417,-9591.093003334798,0.19749761912060235
47,w99055036,other,94056.81089942587,104507.56766602874,117571.01362428232,nr2,-409456.4687652492,-445033.6821668056,-35577.21340155642,0.18180855591943298
48,w99055038,other,24561.514626422148,27290.57180713572,30701.893283027683,nr1,-116150.25810660956,-129518.31539499335,-13368.057288383789,0.19749761912060235
49,w99055039,other,95255.37369289662,105839.30410321847,119069.21711612078,nr2,-414674.15884335217,-415571.3177955149,-897.1589521627175,0.18180855591943298
50,w99055040,trade,7536.8851086504455,8374.316787389384,9421.106385813056,nr1,-35641.57846144733,-46914.19009190434,-11272.61163045701,0.19749761912060235
51,w99055041,ab,21595.11692946048,23994.5743660672,26993.8961618256,r1,-109280.40688575104,-103641.98286305513,5638.424022695908,0.1975054995519457
52,w99055043,sfh,29155.98911223378,32395.543458037533,36444.98639029222,r1,-147541.61154806198,-136184.11492432025,11357.496623741725,0.1975054995519457
53,w99055048,sfh,5769.180841789516,6410.2009353216845,7211.476052236895,r1,-29194.490210337983,-34857.584235437585,-5663.094025099603,0.1975054995519457
54,w99055050,trade,16984.909900636445,18872.122111818273,21231.137375795555,nr1,-80320.84742665592,-91020.12670189855,-10699.279275242632,0.19749761912060235
55,w99055053,ab,14174.508663259385,15749.454070288204,17718.13582907423,r1,-71728.9968461999,-76902.2281360526,-5173.231289852702,0.1975054995519457
56,w99055057,ab,36040.58788819037,40045.09765354486,45050.73486023796,r1,-182380.58731926078,-159273.4546047962,23107.13271446459,0.1975054995519457
57,w99055067,sfh,21931.666176569037,24368.517973965598,27414.582720711296,r1,-110983.48813237039,-101935.43714454699,9048.0509878234,0.1975054995519457
58,w99055068,ab,40200.04013772175,44666.71126413528,50250.05017215219,r1,-203429.171392012,-203990.3142607974,-561.1428687853913,0.1975054995519457
59,w99055094,other,16614.595860209945,18460.66206689994,20768.24482526243,nr1,-78569.6495860403,-94415.55003906242,-15845.900453022128,0.19749761912060235
