,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,27974.42320393324,trade,1197460.8634512746,1330512.0705014162,1496826.079314093,nr2,-9235440.45780444,-1292922.443549254,7942518.014255186,0.06894790847900575
1,w24853840,937.1926232803613,trade,88132.8528706944,97925.39207854934,110166.066088368,nr2,-679726.3609249115,-95158.80390623033,584567.5570186811,0.06894790847900575
2,w24853841,8998.296452549099,trade,370264.7062278559,411405.2291420621,462830.8827848198,nr2,-2855673.8281517616,-399782.20862801967,2455891.619523742,0.06894790847900575
3,w25538793,404.8852469230536,trade,30691.75479818213,34101.94977575792,38364.69349772766,nr1,-257137.57950746227,-35998.169133794065,221139.41037366822,0.07489772799242249
4,w27689586,5481.69515059907,office,247077.21277456047,274530.2364161783,308846.5159682006,nr2,-1905587.8623732424,-266774.2081900803,1638813.6541831621,0.06894790847900575
5,w28994179,8336.082743907347,other,755590.8194729006,839545.3549698895,944488.5243411257,nr2,-5827509.054110797,-815826.5196414388,5011682.534469359,0.06894790847900575
6,w28994181,1422.5013561584055,trade,126963.50101552144,141070.5566839127,158704.37626940178,nr2,-979208.4983585386,-137085.03132322675,842123.4670353119,0.06894790847900575
7,w29249266,23411.247439788887,trade,2692049.9258480393,2991166.584275599,3365062.407310049,nr2,-20762487.99309347,-2906660.1460797237,17855827.847013745,0.06894790847900575
8,w30213059,1747.46707642246,ab,196743.8254561325,218604.25050681387,245929.7818201656,r2,-1623684.9913631063,-227298.2202581887,1396386.7711049176,0.06894790847900575
9,w50930444,8762.936898044496,other,331711.8078293086,368568.67536589847,414639.75978663575,nr2,-2558333.841098352,-358155.8731670912,2200177.967931261,0.06894790847900575
10,w50930445,4934.112452852726,other,203585.9606969704,226206.62299663379,254482.450871213,nr2,-1570160.7254559698,-219815.83349455326,1350344.8919614165,0.06894790847900575
11,w50930458,1974.6456010334193,other,59309.24989752737,65899.1665528082,74136.56237190921,nr2,-457423.7561693358,-64037.38330251047,393386.3728668253,0.06894790847900575
12,w50930471,7086.712400933168,other,741559.2688132944,823954.7431258826,926949.086016618,nr2,-5719290.443713822,-800676.373762503,4918614.069951319,0.06894790847900575
13,w50930472,6477.305229391343,other,397621.5839708261,441801.75996758457,497026.97996353265,nr2,-3066664.285725842,-429319.9766661135,2637344.309059729,0.06894790847900575
14,w50930478,6019.835157379508,trade,260294.65487875984,289216.28319862206,325368.3185984498,nr2,-2007527.644526948,-281045.34477952897,1726482.299747419,0.06894790847900575
15,w50930479,4489.048651921749,other,185266.7973649304,205851.99707214488,231583.496706163,nr2,-1428873.8180056252,-200036.26646070933,1228837.551544916,0.06894790847900575
16,w50930480,4441.97852948606,other,168030.88689118178,186700.98543464643,210038.6086139772,nr2,-1295941.5195273538,-181426.30920307743,1114515.2103242765,0.06894790847900575
17,w50930481,1370.623297881335,other,60575.174758398076,67305.74973155341,75718.96844799758,nr2,-467187.2265536032,-65404.227693357076,401782.9988602461,0.06894790847900575
18,w50930482,786.6849797132425,other,73977.36742213568,82197.07491348409,92471.7092776696,nr2,-570551.9010309236,-79874.84315696015,490677.05787396344,0.06894790847900575
19,w50930483,1057.3881191070657,other,39987.428585553724,44430.4762061708,49984.28573194215,nr1,-335017.35775061673,-46901.00735242203,288116.3503981947,0.07489772799242249
20,w50930486,509.32494937628496,trade,28626.54367727404,31807.27075252671,35783.17959659255,nr1,-239835.10226905908,-33575.89579959404,206259.20646946505,0.07489772799242249
21,w98916060,5426.03009034004,other,197850.31759317868,219833.68621464298,247312.89699147333,nr2,-1525924.465224789,-213622.94492222238,1312301.5203025667,0.06894790847900575
22,w98916062,151.14776481509907,trade,11160.058322507997,12400.064802786663,13950.072903134997,nr1,-93499.71688102324,-13089.563294062416,80410.15358696082,0.07489772799242249
23,w98916065,222.67857759937178,other,21014.510922443198,23349.456580492442,26268.138653053997,nr1,-176060.98148061015,-24647.789721520887,151413.19175908927,0.07489772799242249
24,w98916067,36008.87229184061,trade,3131751.8703745524,3479724.300416169,3914689.83796819,nr2,-24153697.887128286,-3381415.12964726,20772282.757481027,0.06894790847900575
25,w98916074,4745.314506876469,trade,489677.5280019927,544086.1422244363,612096.9100024909,nr2,-3776647.5643746904,-528714.6205603372,3247932.943814353,0.06894790847900575
26,w98916075,67.06430839556852,sfh,7064.458776221087,7849.398640245652,8830.573470276358,r1,-63335.09638135429,-8866.223906693302,54468.87247466099,0.07490071651656699
27,w98916076,98.82164086105185,sfh,14858.44356181803,16509.381735353367,18573.054452272536,r1,-133210.6230462073,-18648.036841473862,114562.58620473344,0.07490071651656699
28,w98916079,3334.9361924076916,trade,133808.09024913074,148675.65583236748,167260.11281141342,nr2,-1031997.5274237045,-144475.27121090316,887522.2562128013,0.06894790847900575
29,w98916080,1488.1518905248724,other,125829.55976690605,139810.62196322894,157286.94970863254,nr2,-970462.9541792888,-135860.69227821147,834602.2619010773,0.06894790847900575
30,w98916086,294.4025758753764,other,20669.987609601096,22966.65289955677,25837.484512001367,nr1,-173174.54206616007,-24243.700461464643,148930.84160469542,0.07489772799242249
31,w98916091,1488.9465953722595,trade,60449.85709124032,67166.5078791559,75562.3213640504,nr2,-466220.7115812384,-65268.919701766834,400951.7918794716,0.06894790847900575
32,w98916094,150.05011938810347,trade,14682.116941339953,16313.463268155503,18352.64617667494,nr1,-123007.76013515114,-17220.564036560183,105787.19609859095,0.07489772799242249
33,w98916098,17023.336804370396,trade,1160795.6547794726,1289772.9497549694,1450994.5684743407,nr2,-8952659.314890552,-1253334.284440187,7699325.0304503655,0.06894790847900575
34,w98916102,2270.5699141463265,trade,68796.91015774355,76441.01128638172,85996.13769717944,nr2,-530597.5225040124,-74281.39983917534,456316.1226648371,0.06894790847900575
35,w98916109,81.43322088830173,sfh,9324.87444096882,10360.971601076468,11656.093051211024,r1,-83600.43425417316,-11703.150561755601,71897.28369241756,0.07490071651656699
36,w98916113,559.2398283889517,trade,50226.93887767507,55807.70986408341,62783.67359709384,nr2,-387376.253822283,-54231.03044767283,333145.2233746102,0.06894790847900575
37,w98916116,6987.1012714248145,other,355080.08347405493,394533.42608228326,443850.10434256867,nr2,-2738562.126552792,-383387.0677474786,2355175.058805313,0.06894790847900575
38,w98916121,458.57296650111675,other,22053.988367563295,24504.431519514772,27567.485459454118,nr1,-184769.79321028732,-25866.98637958925,158902.80683069807,0.07489772799242249
39,w98916126,988.0943454869091,trade,57488.92051228189,63876.57834697988,71861.15064035235,nr2,-443384.4299882923,-62071.937258576465,381312.4927297158,0.06894790847900575
